test-group,index,status,input-events,input-octets,output-events,output-octets,instr.-rounds,diagnosis,time
ssh2-valid-shell-request(0),0,SSH_MSG_CHANNEL_SUCCESS,14,2959,13,1235,1,passed,4.19
ssh2-valid-x11-forwarding(0),1,SSH_MSG_CHANNEL_SUCCESS,15,2995,14,1327,1,passed,4.184
ssh2-valid-direct-tcpip-forwarding(0),2,SSH_MSG_CHANNEL_OPEN_FAILURE,11,1171,13,987,1,passed,3.012
ssh2-valid-remote-tcpip-forwarding(0),3,SSH_MSG_CHANNEL_OPEN,11,1155,13,963,1,passed,3.628
ssh2-client-version-prologue-with-crlf-token(0),4,SERVER_VERSION,1,19,1,34,1,passed,2.697
ssh2-client-version-prologue-with-crlf-token(1),5,SERVER_VERSION,1,19,1,34,1,passed,2.686
ssh2-client-version-prologue-with-crlf-token(2),6,SERVER_VERSION,1,19,1,34,1,passed,2.702
ssh2-client-version-prologue-with-crlf-token(3),7,SERVER_VERSION,1,19,1,34,1,passed,2.686
ssh2-client-version-prologue-with-crlf-token(4),8,SERVER_VERSION,1,19,1,34,1,passed,2.694
ssh2-client-version-prologue-with-crlf-token(5),9,SERVER_VERSION,1,19,1,34,1,passed,2.703
ssh2-client-version-prologue-with-crlf-token(6),10,SERVER_VERSION,1,19,1,34,1,passed,2.695
ssh2-client-version-prologue-with-crlf-token(7),11,SERVER_VERSION,1,19,1,34,1,passed,2.697
ssh2-client-version-prologue-with-crlf-token(8),12,SERVER_VERSION,1,19,1,34,1,passed,2.699
ssh2-client-version-prologue-with-crlf-token(9),13,SERVER_VERSION,1,19,1,34,1,passed,2.704
ssh2-client-version-prologue-with-crlf-token(10),14,SERVER_VERSION,1,19,1,34,1,passed,2.688
ssh2-client-version-prologue-with-crlf-token(11),15,SERVER_VERSION,1,19,1,34,1,passed,2.709
ssh2-client-version-prologue-with-crlf-token(12),16,SERVER_VERSION,1,19,1,34,1,passed,2.697
ssh2-client-version-prologue-with-crlf-token(13),17,SERVER_VERSION,1,19,1,34,1,passed,2.688
ssh2-client-version-prologue-with-crlf-token(14),18,SERVER_VERSION,1,19,1,34,1,passed,2.701
ssh2-client-version-prologue-with-crlf-token(15),19,SERVER_VERSION,1,19,1,34,1,passed,2.691
ssh2-client-version-prologue-with-crlf-token(16),20,SERVER_VERSION,1,19,1,34,1,passed,2.69
ssh2-client-version-prologue-with-crlf-whitespace(0),21,SERVER_VERSION,1,19,1,34,1,passed,2.699
ssh2-client-version-prologue-with-crlf-whitespace(1),22,SERVER_VERSION,1,19,1,34,1,passed,2.705
ssh2-client-version-prologue-with-crlf-whitespace(2),23,SERVER_VERSION,1,19,1,1081,1,passed,2.694
ssh2-client-version-prologue-with-crlf-whitespace(3),24,SERVER_VERSION,1,19,1,33033,1,passed,2.702
ssh2-client-version-prologue-with-crlf-whitespace(4),25,SERVER_VERSION,1,19,1,4129,1,passed,2.681
ssh2-client-version-prologue-with-crlf-whitespace(5),26,SERVER_VERSION,1,19,1,545,1,passed,2.687
ssh2-client-version-prologue-with-crlf-whitespace(6),27,SERVER_VERSION,1,19,1,32035,1,passed,2.679
ssh2-client-version-prologue-with-crlf-whitespace(7),28,SERVER_VERSION,1,19,1,289,1,passed,2.696
ssh2-client-version-prologue-with-crlf-whitespace(8),29,SERVER_VERSION,1,19,1,3105,1,passed,2.687
ssh2-client-version-prologue-with-crlf-whitespace(9),30,SERVER_VERSION,1,19,1,49185,1,passed,2.701
ssh2-client-version-prologue-with-crlf-whitespace(10),31,SERVER_VERSION,1,19,1,36,1,passed,2.662
ssh2-client-version-prologue-with-crlf-ascii-of(0),32,SERVER_VERSION,1,19,1,33,1,passed,2.696
ssh2-client-version-prologue-with-crlf-ascii-of(1),33,SERVER_VERSION,1,19,1,65,1,passed,2.699
ssh2-client-version-prologue-with-crlf-ascii-of(2),34,SERVER_VERSION,1,19,1,97,1,passed,2.704
ssh2-client-version-prologue-with-crlf-ascii-of(3),35,SERVER_VERSION,1,19,1,161,1,passed,2.687
ssh2-client-version-prologue-with-crlf-ascii-of(4),36,SERVER_VERSION,1,19,1,289,1,passed,2.702
ssh2-client-version-prologue-with-crlf-ascii-of(5),37,SERVER_VERSION,1,19,1,2081,1,passed,2.695
ssh2-client-version-prologue-with-crlf-ascii-of(6),38,SERVER_VERSION,1,19,1,8225,1,passed,2.71
ssh2-client-version-prologue-with-crlf-ascii-of(7),39,SERVER_VERSION,1,19,1,16417,1,passed,2.692
ssh2-client-version-prologue-with-crlf-ascii-of(8),40,SERVER_VERSION,1,19,1,32801,1,passed,2.714
ssh2-client-version-prologue-with-crlf-ascii-of(9),41,SERVER_VERSION,1,19,1,65034,1,passed,2.706
ssh2-client-version-prologue-with-crlf-ascii-of(10),42,SERVER_VERSION,1,19,1,128033,1,passed,2.704
ssh2-client-version-prologue-with-crlf-ascii-of(11),43,SERVER_VERSION,1,19,1,1128033,1,passed,3.037
ssh2-client-version-prologue-with-crlf-ascii-of(12),44,SERVER_VERSION,1,19,1,3135,1,passed,2.702
ssh2-client-version-prologue-with-crlf-ascii-of(13),45,SERVER_VERSION,1,19,1,16417,1,passed,2.687
ssh2-client-version-prologue-with-crlf-ascii-of(14),46,SERVER_VERSION,1,19,1,37,1,passed,2.684
ssh2-client-version-prologue-with-crlf-ascii-of(15),47,SERVER_VERSION,1,19,1,1057,1,passed,2.689
ssh2-client-version-prologue-with-crlf-ascii-of(16),48,SERVER_VERSION,1,19,1,65,1,passed,2.704
ssh2-client-version-prologue-with-crlf-ascii-of(17),49,SERVER_VERSION,1,19,1,97,1,passed,2.691
ssh2-client-version-prologue-with-crlf-ascii-of(18),50,SERVER_VERSION,1,19,1,289,1,passed,2.703
ssh2-client-version-prologue-with-crlf-ascii-of(19),51,SERVER_VERSION,1,19,1,4129,1,passed,2.695
ssh2-client-version-prologue-with-crlf-ascii-of(20),52,SERVER_VERSION,1,19,1,55588,1,passed,2.704
ssh2-client-version-prologue-with-crlf-ascii-of(21),53,SERVER_VERSION,1,19,1,66,1,passed,2.69
ssh2-client-version-prologue-with-crlf-ascii-of(22),54,SERVER_VERSION,1,19,1,34,1,passed,2.685
ssh2-client-version-prologue-with-crlf-ascii-of(23),55,SERVER_VERSION,1,19,1,36,1,passed,2.698
ssh2-client-version-prologue-with-crlf-ascii-of(24),56,SERVER_VERSION,1,19,1,49,1,passed,2.7
ssh2-client-version-prologue-with-crlf-ascii-of(25),57,SERVER_VERSION,1,19,1,160,1,passed,2.695
ssh2-client-version-prologue-with-crlf-ascii-of(26),58,SERVER_VERSION,1,19,1,289,1,passed,2.681
ssh2-client-version-prologue-with-crlf-ascii-of(27),59,SERVER_VERSION,1,19,1,1058,1,passed,2.675
ssh2-client-version-prologue-with-crlf-ascii-of(28),60,SERVER_VERSION,1,19,1,16418,1,passed,2.693
ssh2-client-version-prologue-with-crlf-ascii-of(29),61,SERVER_VERSION,1,19,1,64034,1,passed,2.703
ssh2-client-version-prologue-with-crlf-ascii-of(30),62,SERVER_VERSION,1,19,1,547,1,passed,2.692
ssh2-client-version-prologue-with-crlf-cfs(0),63,SERVER_VERSION,1,19,1,41,1,passed,2.682
ssh2-client-version-prologue-with-crlf-cfs(1),64,SERVER_VERSION,1,19,1,38,1,passed,2.683
ssh2-client-version-prologue-with-crlf-cfs(2),65,SERVER_VERSION,1,19,1,43,1,passed,2.683
ssh2-client-version-prologue-with-crlf-cfs(3),66,SERVER_VERSION,1,19,1,545,1,passed,2.687
ssh2-client-version-prologue-with-crlf-cfs(4),67,SERVER_VERSION,1,19,1,6178,1,passed,2.69
ssh2-client-version-prologue-with-crlf-cfs(5),68,SERVER_VERSION,1,19,1,64117,1,passed,2.697
ssh2-client-version-prologue-with-crlf-cof(0),69,SERVER_VERSION,1,19,1,81,1,passed,2.694
ssh2-client-version-prologue-with-crlf-cof(1),70,SERVER_VERSION,1,19,1,129,1,passed,2.698
ssh2-client-version-prologue-with-crlf-cof(2),71,SERVER_VERSION,1,19,1,1185,1,passed,2.688
ssh2-client-version-prologue-with-crlf-cof(3),72,SERVER_VERSION,1,19,1,829,1,passed,2.682
ssh2-client-version-prologue-with-crlf-cof(4),73,SERVER_VERSION,1,19,1,3105,1,passed,2.683
ssh2-client-version-prologue-with-crlf-cof(5),74,SERVER_VERSION,1,19,1,5157,1,passed,2.694
ssh2-client-version-prologue-with-crlf-cof(6),75,SERVER_VERSION,1,19,1,105,1,passed,2.696
ssh2-client-version-prologue-with-crlf-cof(7),76,SERVER_VERSION,1,19,1,51,1,passed,2.695
ssh2-client-version-prologue-with-crlf-cof(8),77,SERVER_VERSION,1,19,1,51,1,passed,2.698
ssh2-client-version-prologue-with-crlf-cof(9),78,SERVER_VERSION,1,19,1,162,1,passed,2.695
ssh2-client-version-prologue-with-crlf-cof(10),79,SERVER_VERSION,1,19,1,801,1,passed,2.684
ssh2-client-version-prologue-with-crlf-cof(11),80,SERVER_VERSION,1,19,1,4132,1,passed,2.697
ssh2-client-version-prologue-with-crlf-cof(12),81,SERVER_VERSION,1,19,1,16433,1,passed,2.694
ssh2-client-version-prologue-with-crlf-cof(13),82,SERVER_VERSION,1,19,1,66033,1,passed,2.703
ssh2-client-version-prologue-with-crlf-utf8(0),83,SERVER_VERSION,1,19,1,36,1,passed,2.714
ssh2-client-version-prologue-with-crlf-utf8(1),84,SERVER_VERSION,1,19,1,36,1,passed,2.688
ssh2-client-version-prologue-with-crlf-utf8(2),85,SERVER_VERSION,1,19,1,45,1,passed,2.683
ssh2-client-version-prologue-with-crlf-utf8(3),86,SERVER_VERSION,1,19,1,39,1,passed,2.688
ssh2-client-version-prologue-with-crlf-utf8(4),87,SERVER_VERSION,1,19,1,36,1,passed,2.69
ssh2-client-version-prologue-with-crlf-utf8(5),88,SERVER_VERSION,1,19,1,36,1,passed,2.688
ssh2-client-version-prologue-with-crlf-utf8(6),89,SERVER_VERSION,1,19,1,48,1,passed,2.697
ssh2-client-version-prologue-with-crlf-utf8(7),90,SERVER_VERSION,1,19,1,417,1,passed,2.69
ssh2-client-version-prologue-with-crlf-utf8(8),91,SERVER_VERSION,1,19,1,289,1,passed,2.68
ssh2-client-version-prologue-with-crlf-utf8(9),92,SERVER_VERSION,1,19,1,801,1,passed,2.683
ssh2-client-version-prologue-with-crlf-utf8(10),93,SERVER_VERSION,1,19,1,3105,1,passed,2.696
ssh2-client-version-prologue-with-crlf-utf8(11),94,SERVER_VERSION,1,19,1,8225,1,passed,2.695
ssh2-client-version-prologue-with-crlf-utf8(12),95,SERVER_VERSION,1,19,1,8225,1,passed,2.702
ssh2-client-version-prologue-with-crlf-utf8(13),96,SERVER_VERSION,1,19,1,63333,1,passed,2.686
ssh2-client-version-prologue-with-crlf-crlf(0),97,SERVER_VERSION,1,19,1,33,1,passed,2.687
ssh2-client-version-prologue-with-crlf-crlf(1),98,SERVER_VERSION,1,19,1,34,1,passed,2.684
ssh2-client-version-prologue-with-crlf-crlf(2),99,SERVER_VERSION,1,19,1,34,1,passed,2.701
ssh2-client-version-prologue-with-crlf-crlf(3),100,SERVER_VERSION,1,19,1,37,1,passed,2.695
ssh2-client-version-prologue-with-crlf-crlf(4),101,SERVER_VERSION,1,19,1,65,1,passed,2.698
ssh2-client-version-prologue-with-crlf-crlf(5),102,SERVER_VERSION,1,19,1,545,1,passed,2.683
ssh2-client-version-prologue-with-crlf-crlf(6),103,SERVER_VERSION,1,19,1,60033,1,passed,2.693
ssh2-client-version-prologue-with-crlf-crlf(7),104,SERVER_VERSION,1,19,1,36,1,passed,2.705
ssh2-client-version-prologue-with-crlf-crlf(8),105,SERVER_VERSION,1,19,1,36,1,passed,2.68
ssh2-client-version-prologue-with-crlf-crlf(9),106,SERVER_VERSION,1,19,1,36,1,passed,2.693
ssh2-client-version-prologue-with-crlf-crlf(10),107,SERVER_VERSION,1,19,1,36,1,passed,2.707
ssh2-client-version-prologue-with-crlf-crlf(11),108,SERVER_VERSION,1,19,1,290,1,passed,2.712
ssh2-client-version-prologue-with-crlf-crlf(12),109,SERVER_VERSION,1,19,1,291,1,passed,2.707
ssh2-client-version-prologue-with-crlf-crlf(13),110,SERVER_VERSION,1,19,1,2083,1,passed,2.689
ssh2-client-version-prologue-wo-crlf-token(0),111,SERVER_VERSION,1,19,1,32,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-token(1),112,SERVER_VERSION,1,19,1,32,1,passed,2.679
ssh2-client-version-prologue-wo-crlf-token(2),113,SERVER_VERSION,1,19,1,32,1,passed,2.668
ssh2-client-version-prologue-wo-crlf-token(3),114,SERVER_VERSION,1,19,1,32,1,passed,2.686
ssh2-client-version-prologue-wo-crlf-token(4),115,SERVER_VERSION,1,19,1,32,1,passed,2.678
ssh2-client-version-prologue-wo-crlf-token(5),116,SERVER_VERSION,1,19,1,32,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-token(6),117,SERVER_VERSION,1,19,1,32,1,passed,2.696
ssh2-client-version-prologue-wo-crlf-token(7),118,SERVER_VERSION,1,19,1,32,1,passed,2.69
ssh2-client-version-prologue-wo-crlf-token(8),119,SERVER_VERSION,1,19,1,32,1,passed,2.697
ssh2-client-version-prologue-wo-crlf-token(9),120,SERVER_VERSION,1,19,1,32,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-token(10),121,SERVER_VERSION,1,19,1,32,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-token(11),122,SERVER_VERSION,1,19,1,32,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-token(12),123,SERVER_VERSION,1,19,1,32,1,passed,2.688
ssh2-client-version-prologue-wo-crlf-token(13),124,SERVER_VERSION,1,19,1,32,1,passed,2.697
ssh2-client-version-prologue-wo-crlf-token(14),125,SERVER_VERSION,1,19,1,32,1,passed,2.691
ssh2-client-version-prologue-wo-crlf-token(15),126,SERVER_VERSION,1,19,1,32,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-token(16),127,SERVER_VERSION,1,19,1,32,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-whitespace(0),128,SERVER_VERSION,1,19,1,32,1,passed,2.689
ssh2-client-version-prologue-wo-crlf-whitespace(1),129,SERVER_VERSION,1,19,1,32,1,passed,2.692
ssh2-client-version-prologue-wo-crlf-whitespace(2),130,SERVER_VERSION,1,19,1,1079,1,passed,2.689
ssh2-client-version-prologue-wo-crlf-whitespace(3),131,SERVER_VERSION,1,19,1,33031,1,passed,2.695
ssh2-client-version-prologue-wo-crlf-whitespace(4),132,SERVER_VERSION,1,19,1,4127,1,passed,2.693
ssh2-client-version-prologue-wo-crlf-whitespace(5),133,SERVER_VERSION,1,19,1,543,1,passed,2.686
ssh2-client-version-prologue-wo-crlf-whitespace(6),134,SERVER_VERSION,1,19,1,32033,1,passed,2.698
ssh2-client-version-prologue-wo-crlf-whitespace(7),135,SERVER_VERSION,1,19,1,287,1,passed,2.69
ssh2-client-version-prologue-wo-crlf-whitespace(8),136,SERVER_VERSION,1,19,1,3103,1,passed,2.688
ssh2-client-version-prologue-wo-crlf-whitespace(9),137,SERVER_VERSION,1,19,1,49183,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-whitespace(10),138,SERVER_VERSION,1,19,1,34,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-ascii-of(0),139,SSH_MSG_CHANNEL_SUCCESS,14,2959,13,1235,1,passed,4.145
ssh2-client-version-prologue-wo-crlf-ascii-of(1),140,SERVER_VERSION,1,19,1,63,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-ascii-of(2),141,SERVER_VERSION,1,19,1,95,1,passed,2.69
ssh2-client-version-prologue-wo-crlf-ascii-of(3),142,SERVER_VERSION,1,19,1,159,1,passed,2.7
ssh2-client-version-prologue-wo-crlf-ascii-of(4),143,SERVER_VERSION,1,19,1,287,1,passed,2.668
ssh2-client-version-prologue-wo-crlf-ascii-of(5),144,SERVER_VERSION,1,19,1,2079,1,passed,2.695
ssh2-client-version-prologue-wo-crlf-ascii-of(6),145,SERVER_VERSION,1,19,1,8223,1,passed,2.683
ssh2-client-version-prologue-wo-crlf-ascii-of(7),146,SERVER_VERSION,1,19,1,16415,1,passed,2.705
ssh2-client-version-prologue-wo-crlf-ascii-of(8),147,SERVER_VERSION,1,19,1,32799,1,passed,2.681
ssh2-client-version-prologue-wo-crlf-ascii-of(9),148,SERVER_VERSION,1,19,1,65032,1,passed,2.703
ssh2-client-version-prologue-wo-crlf-ascii-of(10),149,SERVER_VERSION,1,19,1,128031,1,passed,2.71
ssh2-client-version-prologue-wo-crlf-ascii-of(11),150,SERVER_VERSION,1,19,1,1128031,1,passed,3.004
ssh2-client-version-prologue-wo-crlf-ascii-of(12),151,SERVER_VERSION,1,19,1,3133,1,passed,2.711
ssh2-client-version-prologue-wo-crlf-ascii-of(13),152,SERVER_VERSION,1,19,1,16415,1,passed,2.693
ssh2-client-version-prologue-wo-crlf-ascii-of(14),153,SERVER_VERSION,1,19,1,35,1,passed,2.68
ssh2-client-version-prologue-wo-crlf-ascii-of(15),154,SERVER_VERSION,1,19,1,1055,1,passed,2.691
ssh2-client-version-prologue-wo-crlf-ascii-of(16),155,SERVER_VERSION,1,19,1,63,1,passed,2.686
ssh2-client-version-prologue-wo-crlf-ascii-of(17),156,SERVER_VERSION,1,19,1,95,1,passed,2.697
ssh2-client-version-prologue-wo-crlf-ascii-of(18),157,SERVER_VERSION,1,19,1,287,1,passed,2.688
ssh2-client-version-prologue-wo-crlf-ascii-of(19),158,SERVER_VERSION,1,19,1,4127,1,passed,2.683
ssh2-client-version-prologue-wo-crlf-ascii-of(20),159,SERVER_VERSION,1,19,1,55586,1,passed,2.681
ssh2-client-version-prologue-wo-crlf-ascii-of(21),160,SERVER_VERSION,1,19,1,64,1,passed,2.692
ssh2-client-version-prologue-wo-crlf-ascii-of(22),161,SERVER_VERSION,1,19,1,32,1,passed,2.694
ssh2-client-version-prologue-wo-crlf-ascii-of(23),162,SERVER_VERSION,1,19,1,34,1,passed,2.693
ssh2-client-version-prologue-wo-crlf-ascii-of(24),163,SERVER_VERSION,1,19,1,47,1,passed,2.705
ssh2-client-version-prologue-wo-crlf-ascii-of(25),164,SERVER_VERSION,1,19,1,158,1,passed,2.697
ssh2-client-version-prologue-wo-crlf-ascii-of(26),165,SERVER_VERSION,1,19,1,287,1,passed,2.701
ssh2-client-version-prologue-wo-crlf-ascii-of(27),166,SERVER_VERSION,1,19,1,1056,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-ascii-of(28),167,SERVER_VERSION,1,19,1,16416,1,passed,2.7
ssh2-client-version-prologue-wo-crlf-ascii-of(29),168,SERVER_VERSION,1,19,1,64032,1,passed,2.699
ssh2-client-version-prologue-wo-crlf-ascii-of(30),169,SERVER_VERSION,1,19,1,545,1,passed,2.688
ssh2-client-version-prologue-wo-crlf-cfs(0),170,SERVER_VERSION,1,19,1,39,1,passed,2.683
ssh2-client-version-prologue-wo-crlf-cfs(1),171,SERVER_VERSION,1,19,1,36,1,passed,2.679
ssh2-client-version-prologue-wo-crlf-cfs(2),172,SERVER_VERSION,1,19,1,41,1,passed,2.663
ssh2-client-version-prologue-wo-crlf-cfs(3),173,SERVER_VERSION,1,19,1,543,1,passed,2.682
ssh2-client-version-prologue-wo-crlf-cfs(4),174,SERVER_VERSION,1,19,1,6176,1,passed,2.687
ssh2-client-version-prologue-wo-crlf-cfs(5),175,SERVER_VERSION,1,19,1,64115,1,passed,2.692
ssh2-client-version-prologue-wo-crlf-cof(0),176,SERVER_VERSION,1,19,1,79,1,passed,2.691
ssh2-client-version-prologue-wo-crlf-cof(1),177,SERVER_VERSION,1,19,1,127,1,passed,2.662
